STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),2025,15 - 19 years,Male,Thousand,191.5
Population Estimates (Persons in April),2025,15 - 19 years,Female,Thousand,178
Population Estimates (Persons in April),2025,15 - 24 years,Male,Thousand,361.4
Population Estimates (Persons in April),2025,15 - 24 years,Female,Thousand,335.2
Population Estimates (Persons in April),2025,15 years and over,Male,Thousand,2193.7
Population Estimates (Persons in April),2025,15 years and over,Female,Thousand,2264.8
Population Estimates (Persons in April),2025,20 - 24 years,Male,Thousand,169.9
Population Estimates (Persons in April),2025,20 - 24 years,Female,Thousand,157.2
Population Estimates (Persons in April),2025,25 - 29 years,Male,Thousand,167.9
Population Estimates (Persons in April),2025,25 - 29 years,Female,Thousand,161.9
Population Estimates (Persons in April),2025,25 - 44 years,Male,Thousand,731.8
