Statistic Label,Year,Type of Ownership,Engine Capacity cc,Fuel Type,County of Ownership,Year of Registration,UNIT,VALUE
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Laois,All years,Number,3761
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Leitrim,All years,Number,1741
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Limerick,All years,Number,12717
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Longford,All years,Number,1783
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Louth,All years,Number,6127
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Mayo,All years,Number,7586
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Meath,All years,Number,10629
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Monaghan,All years,Number,2700
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Offaly,All years,Number,3631
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Roscommon,All years,Number,3767
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Sligo,All years,Number,3953
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Tipperary,All years,Number,9455
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Waterford,All years,Number,8597
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Westmeath,All years,Number,4360
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Wexford,All years,Number,8886
Vehicle Population,2022,All owners,1201 - 1400 cc,Petrol,Co. Wicklow,All years,Number,10204
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Carlow,All years,Number,1233
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Cavan,All years,Number,1714
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Clare,All years,Number,2363
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Cork,All years,Number,10147
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Donegal,All years,Number,3982
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Dublin,All years,Number,8167
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Galway,All years,Number,4596
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Kerry,All years,Number,3198
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Kildare,All years,Number,3003
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Kilkenny,All years,Number,2072
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Laois,All years,Number,1353
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Leitrim,All years,Number,677
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Limerick,All years,Number,3783
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Longford,All years,Number,837
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Louth,All years,Number,1875
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Mayo,All years,Number,3054
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Meath,All years,Number,3171
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Monaghan,All years,Number,1205
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Offaly,All years,Number,1808
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Roscommon,All years,Number,1538
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Sligo,All years,Number,1268
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Tipperary,All years,Number,3814
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Waterford,All years,Number,1949
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Westmeath,All years,Number,1860
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Wexford,All years,Number,3075
Vehicle Population,2022,All owners,1201 - 1400 cc,Diesel,Co. Wicklow,All years,Number,2013
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Carlow,All years,Number,61
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Cavan,All years,Number,68
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Clare,All years,Number,93
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Cork,All years,Number,537
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Donegal,All years,Number,55
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Dublin,All years,Number,3672
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Galway,All years,Number,296
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Kerry,All years,Number,91
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Kildare,All years,Number,416
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Kilkenny,All years,Number,77
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Laois,All years,Number,73
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Leitrim,All years,Number,23
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Limerick,All years,Number,207
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Longford,All years,Number,32
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Louth,All years,Number,143
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Mayo,All years,Number,96
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Meath,All years,Number,319
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Monaghan,All years,Number,33
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Offaly,All years,Number,53
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Roscommon,All years,Number,40
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Sligo,All years,Number,46
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Tipperary,All years,Number,166
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Waterford,All years,Number,116
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Westmeath,All years,Number,63
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Wexford,All years,Number,146
Vehicle Population,2022,All owners,1201 - 1400 cc,Other fuel types,Co. Wicklow,All years,Number,256
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Carlow,All years,Number,1187
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Cavan,All years,Number,1127
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Clare,All years,Number,2958
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Cork,All years,Number,13966
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Donegal,All years,Number,2485
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Dublin,All years,Number,39737
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Galway,All years,Number,5714
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Kerry,All years,Number,4068
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Kildare,All years,Number,5455
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Kilkenny,All years,Number,1867
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Laois,All years,Number,1381
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Leitrim,All years,Number,518
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Limerick,All years,Number,4552
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Longford,All years,Number,636
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Louth,All years,Number,2170
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Mayo,All years,Number,2442
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Meath,All years,Number,4187
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Monaghan,All years,Number,739
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Offaly,All years,Number,1317
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Roscommon,All years,Number,1064
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Sligo,All years,Number,1307
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Tipperary,All years,Number,3517
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Waterford,All years,Number,3086
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Westmeath,All years,Number,1498
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Wexford,All years,Number,3182
Vehicle Population,2022,All owners,1401 - 1600 cc,Petrol,Co. Wicklow,All years,Number,4050
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Carlow,All years,Number,9178
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Cavan,All years,Number,11054
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Clare,All years,Number,18130
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Cork,All years,Number,67312
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Donegal,All years,Number,20346
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Dublin,All years,Number,97692
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Galway,All years,Number,32468
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Kerry,All years,Number,21796
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Kildare,All years,Number,28852
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Kilkenny,All years,Number,14119
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Laois,All years,Number,12380
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Leitrim,All years,Number,4767
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Limerick,All years,Number,25390
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Longford,All years,Number,5393
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Louth,All years,Number,15425
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Mayo,All years,Number,18744
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Meath,All years,Number,26631
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Monaghan,All years,Number,8839
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Offaly,All years,Number,11824
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Roscommon,All years,Number,10094
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Sligo,All years,Number,8285
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Tipperary,All years,Number,25839
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Waterford,All years,Number,15860
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Westmeath,All years,Number,13530
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Wexford,All years,Number,25567
Vehicle Population,2022,All owners,1401 - 1600 cc,Diesel,Co. Wicklow,All years,Number,16267
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Carlow,All years,Number,323
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Cavan,All years,Number,341
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Clare,All years,Number,765
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Cork,All years,Number,3870
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Donegal,All years,Number,944
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Dublin,All years,Number,14268
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Galway,All years,Number,1660
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Kerry,All years,Number,774
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Kildare,All years,Number,2055
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Kilkenny,All years,Number,594
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Laois,All years,Number,489
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Leitrim,All years,Number,146
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Limerick,All years,Number,1170
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Longford,All years,Number,191
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Louth,All years,Number,852
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Mayo,All years,Number,580
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Meath,All years,Number,1465
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Monaghan,All years,Number,195
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Offaly,All years,Number,441
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Roscommon,All years,Number,308
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Sligo,All years,Number,408
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Tipperary,All years,Number,911
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Waterford,All years,Number,695
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Westmeath,All years,Number,568
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Wexford,All years,Number,867
Vehicle Population,2022,All owners,1401 - 1600 cc,Other fuel types,Co. Wicklow,All years,Number,1199
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Carlow,All years,Number,243
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Cavan,All years,Number,220
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Clare,All years,Number,499
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Cork,All years,Number,2653
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Donegal,All years,Number,385
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Dublin,All years,Number,9232
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Galway,All years,Number,1123
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Kerry,All years,Number,713
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Kildare,All years,Number,1144
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Kilkenny,All years,Number,384
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Laois,All years,Number,295
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Leitrim,All years,Number,79
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Limerick,All years,Number,793
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Longford,All years,Number,126
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Louth,All years,Number,410
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Mayo,All years,Number,469
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Meath,All years,Number,961
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Monaghan,All years,Number,132
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Offaly,All years,Number,261
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Roscommon,All years,Number,195
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Sligo,All years,Number,232
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Tipperary,All years,Number,631
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Waterford,All years,Number,528
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Westmeath,All years,Number,294
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Wexford,All years,Number,609
Vehicle Population,2022,All owners,1601 - 1800 cc,Petrol,Co. Wicklow,All years,Number,978
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Carlow,All years,Number,1353
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Cavan,All years,Number,1510
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Clare,All years,Number,2696
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Cork,All years,Number,11494
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Donegal,All years,Number,3696
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Dublin,All years,Number,16300
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Galway,All years,Number,5772
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Kerry,All years,Number,4001
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Kildare,All years,Number,5174
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Kilkenny,All years,Number,2244
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Laois,All years,Number,1975
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Leitrim,All years,Number,722
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Limerick,All years,Number,3924
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Longford,All years,Number,966
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Louth,All years,Number,2249
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Mayo,All years,Number,3082
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Meath,All years,Number,4155
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Monaghan,All years,Number,1472
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Offaly,All years,Number,1805
Vehicle Population,2022,All owners,1601 - 1800 cc,Diesel,Co. Roscommon,All years,Number,1510
